Month,Country,Product_Category,Units_Sold,Unit_Price,Discount,Revenue
2023-01,Brazil,Toys,29,191.6,0.23,4278.43
2023-01,France,Home,19,108.98,0.14,1780.73
2023-01,France,Toys,40,710.99,0.01,28155.2
2023-01,USA,Toys,44,939.17,0.0,41323.48
2023-01,Germany,Electronics,33,311.2,0.16,8626.46
2023-01,Germany,Electronics,49,529.53,0.12,22833.33
2023-01,Australia,Toys,16,240.44,0.03,3731.63
2023-01,Japan,Home,44,519.09,0.18,18728.77
2023-01,UK,Electronics,7,178.82,0.02,1226.71
2023-01,Germany,Electronics,14,810.31,0.09,10323.35
2023-01,France,Clothing,20,248.62,0.2,3977.92
2023-01,Germany,Electronics,8,44.04,0.27,257.19
2023-01,Germany,Clothing,40,757.81,0.13,26371.79
2023-01,Japan,Clothing,4,193.01,0.29,548.15
2023-01,USA,Toys,34,401.2,0.28,9821.38
2023-01,Brazil,Toys,15,97.61,0.06,1376.3
2023-01,India,Clothing,40,846.09,0.22,26398.01
2023-01,Brazil,Electronics,24,363.19,0.08,8019.24
2023-01,Germany,Electronics,41,303.31,0.05,11813.92
2023-01,India,Home,9,774.52,0.06,6552.44
2023-01,Australia,Home,11,206.85,0.21,1797.53
2023-01,UK,Electronics,5,927.04,0.2,3708.16
2023-01,Germany,Home,9,627.07,0.1,5079.27
2023-01,Australia,Home,23,672.15,0.2,12367.56
2023-01,Germany,Toys,22,888.34,0.14,16807.39
2023-01,France,Home,14,850.42,0.22,9286.59
2023-01,Brazil,Home,14,498.86,0.16,5866.59
2023-01,Brazil,Clothing,42,444.94,0.06,17566.23
2023-01,Australia,Home,49,321.21,0.15,13378.4
2023-01,Japan,Electronics,23,608.37,0.16,11753.71
2023-01,France,Toys,13,86.21,0.09,1019.86
2023-01,Japan,Toys,2,628.11,0.09,1143.16
2023-01,France,Clothing,28,805.64,0.06,21204.44
2023-01,Japan,Clothing,11,331.1,0.04,3496.42
2023-01,India,Home,33,279.41,0.19,7468.63
2023-01,India,Toys,13,862.12,0.0,11207.56
2023-01,Australia,Home,9,489.98,0.21,3483.76
2023-01,USA,Toys,24,943.48,0.1,20379.17
2023-01,Australia,Toys,41,409.8,0.02,16465.76
2023-01,USA,Toys,12,259.26,0.15,2644.45
2023-01,India,Electronics,49,997.76,0.08,44979.02
2023-01,USA,Clothing,28,60.96,0.08,1570.33
2023-01,India,Electronics,19,683.9,0.16,10915.04
2023-01,USA,Toys,6,249.63,0.2,1198.22
2023-01,UK,Toys,17,730.93,0.11,11058.97
2023-01,Germany,Clothing,6,404.84,0.24,1846.07
2023-01,Australia,Electronics,9,327.57,0.06,2771.24
2023-01,France,Home,20,332.7,0.07,6188.22
2023-01,USA,Home,19,355.18,0.03,6545.97
2023-01,India,Electronics,40,392.87,0.28,11314.66
2023-01,India,Home,28,737.86,0.06,19420.48
2023-01,Brazil,Clothing,42,265.36,0.2,8916.1
2023-01,USA,Toys,49,249.43,0.03,11855.41
2023-01,Germany,Electronics,37,883.81,0.06,30738.91
2023-01,India,Home,19,728.7,0.27,10107.07
2023-01,Australia,Clothing,33,645.61,0.03,20665.98
2023-01,Australia,Toys,38,672.3,0.17,21204.34
2023-01,Australia,Clothing,25,666.87,0.0,16671.75
2023-01,Australia,Clothing,18,490.76,0.13,7685.3
2023-01,France,Electronics,36,715.06,0.07,23940.21
2023-01,France,Toys,20,372.8,0.22,5815.68
2023-01,UK,Electronics,33,547.11,0.15,15346.44
2023-01,Japan,Home,22,251.55,0.29,3929.21
2023-01,France,Home,8,634.83,0.24,3859.77
2023-01,Japan,Electronics,28,672.23,0.26,13928.61
2023-01,Germany,Electronics,48,287.96,0.01,13683.86
2023-01,India,Toys,17,994.61,0.14,14541.2
2023-01,Japan,Electronics,6,376.46,0.0,2258.76
2023-01,Australia,Electronics,49,557.24,0.17,22662.95
2023-01,Germany,Electronics,21,199.0,0.08,3844.68
2023-01,UK,Toys,18,561.23,0.28,7273.54
2023-01,USA,Home,40,79.71,0.06,2997.1
2023-01,Brazil,Clothing,23,148.68,0.16,2872.5
2023-01,USA,Clothing,17,850.18,0.04,13874.94
2023-01,Japan,Toys,39,300.66,0.24,8911.56
2023-01,UK,Clothing,25,615.4,0.02,15077.3
2023-01,Brazil,Electronics,36,800.31,0.19,23337.04
